Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
267,1.0125e-44,0.112967,5000,0.999939,7.00409,0.999878,6.10352e-05,0.00469971,0.00469971
268,1.0823e-44,0.112574,5000,0.999939,7.0036,0.999939,0,0.00476074,0.00476074
269,1.15444e-44,0.112175,5000,1,7.00391,1,0,0.00518799,0.00518799
270,1.22861e-44,0.11178,5000,0.999817,7.00378,0.999878,0,0.00457764,0.00457764
271,1.30569e-44,0.111362,5000,1,7.00342,1,0,0.00500488,0.00500488
272,1.3848e-44,0.110963,5000,1,7.00287,1,0,0.00500488,0.00500488
273,1.46624e-44,0.110574,5000,1,7.00299,1,0,0.00592041,0.00592041
274,1.55001e-44,0.11019,5000,0.999939,7.00378,0.999939,0,0.00561523,0.00561523
275,1.63611e-44,0.109804,5000,1,7.00378,1,0,0.0057373,0.0057373
276,1.72453e-44,0.109419,5000,1,7.00281,1,0,0.00500488,0.00500488
277,1.81528e-44,0.109041,5000,0.999878,7.0025,0.999817,6.10352e-05,0.00506592,0.00506592
278,1.90807e-44,0.108655,5000,0.999878,7.00256,0.999878,0,0.00482178,0.00482178
279,2.00347e-44,0.108268,5000,1,7.00262,1,0,0.00463867,0.00463867
280,2.1012e-44,0.107889,5000,0.999878,7.0025,0.999878,0,0.00537109,0.00537109
281,2.20155e-44,0.107502,5000,1,7.0025,1,0,0.00610352,0.00610352
282,2.30393e-44,0.107122,5000,0.999939,7.00262,0.999939,0,0.0043335,0.0043335
283,2.40835e-44,0.106742,5000,1,7.00311,0.999939,6.10352e-05,0.00567627,0.00567627
284,2.5151e-44,0.10636,5000,0.999939,7.0025,0.999939,0,0.00634766,0.00634766
285,2.62446e-44,0.105979,5000,0.999939,7.00116,0.999939,0,0.00543213,0.00543213
286,2.73673e-44,0.105599,5000,0.999939,7.00055,0.999939,0,0.00463867,0.00463867
287,2.85046e-44,0.105218,5000,1,7.00067,0.999939,6.10352e-05,0.00457764,0.00457764
288,2.96652e-44,0.104837,5000,1,7.00073,1,0,0.00512695,0.00512695
289,3.08577e-44,0.10448,5000,1,7.00037,1,0,0.00561523,0.00561523
290,3.20677e-44,0.104137,5000,1,7.00049,1,0,0.00506592,0.00506592
291,3.33009e-44,0.103791,5000,1,7.00073,1,0,0.00494385,0.00494385
292,3.45575e-44,0.103437,5000,1,7.00116,1,0,0.00463867,0.00463867
293,3.58344e-44,0.103077,5000,1,7.00079,1,0,0.00561523,0.00561523
294,3.71403e-44,0.102713,5000,0.999939,7.00128,0.999939,0,0.00408936,0.00408936
295,3.84579e-44,0.102347,5000,0.999878,7.00116,0.999878,0,0.0045166,0.0045166
296,3.98134e-44,0.101961,5000,0.999939,7.00128,0.999939,0,0.00463867,0.00463867
297,4.11862e-44,0.101575,5000,0.999939,7.00104,0.999939,0,0.00524902,0.00524902
298,4.25765e-44,0.101188,5000,0.999939,7.00201,0.999817,0.00012207,0.00537109,0.00537109
299,4.39989e-44,0.100786,5000,0.999878,7.00189,0.999878,0,0.00476074,0.00476074
300,4.54445e-44,0.100377,5000,0.999939,7.00214,0.999939,0,0.00549316,0.00549316
301,4.69104e-44,0.0999642,5000,0.999939,7.00262,0.999939,0,0.00543213,0.00543213
302,4.7655e-44,0.0997523,5000,1,7.00232,1,0,0.00500488,0.00500488
303,4.7655e-44,0.0997523,5000,1,7.00287,1,0,0.00567627,0.00567627
