Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
965,0.000108574,0.0168616,5000,6.87537,10.7971,7.75983,0.0980835,5.01099,5.01099
966,0.000109469,0.0167546,5000,6.87543,10.794,7.76483,0.0982056,5.00189,5.00189
967,0.00010938,0.0167836,5000,6.87885,10.7665,7.76599,0.0987549,5.00323,5.00323
968,0.000109372,0.0166547,5000,6.87927,10.7623,7.76398,0.0993652,4.98828,4.98828
969,0.000110916,0.0167994,5000,6.87207,10.7714,7.76465,0.0964355,4.96729,4.96729
970,0.000111337,0.0168444,5000,6.8764,10.7859,7.76587,0.0958252,5.00183,5.00183
971,0.000110937,0.0169471,5000,6.87238,10.83,7.76056,0.0952759,5.02283,5.02283
972,0.00011145,0.0167036,5000,6.88153,10.8188,7.771,0.0984497,4.99335,4.99335
973,0.000110581,0.0168739,5000,6.85992,10.8333,7.74634,0.0974731,5.02502,5.02502
974,0.000111582,0.016846,5000,6.86346,10.8171,7.75208,0.0947266,5.00476,5.00476
975,0.000113028,0.0166747,5000,6.87183,10.8275,7.7663,0.0915527,5.00415,5.00415
